Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
046251.png;True;232;0,79;8128,56;0,87
046252.png;True;125;0,79;8133,95;0,48
046253.png;True;155;0,79;8172,23;0,6
046254.png;True;665;0,78;8076,97;2,42
046256.png;True;157;0,79;8083,88;0,6
046258.png;True;446;0,81;8088,5;1,7
046259.png;True;154;0,78;8123,16;0,59
046260.png;True;149;0,79;8101,54;0,58
046261.png;True;499;0,79;8107,5;2,21
046264.png;True;490;0,8;8101,58;1,96
046265.png;True;154;0,79;8100,0;0,6
046266.png;True;155;0,79;8083,07;0,59
046267.png;True;675;0,8;8168,34;2,48
046268.png;True;157;0,78;8070,89;0,6
046270.png;True;154;0,79;8094,74;0,59
046271.png;True;236;0,8;8102,19;0,9
046272.png;True;157;0,79;8128,77;0,61
046276.png;True;154;0,83;8088,88;0,6
046279.png;True;158;0,79;8088,22;0,6
046281.png;True;157;0,79;8125,37;0,61
046282.png;True;684;0,8;8082,84;2,6
046283.png;True;155;0,85;8090,41;0,59
046284.png;True;290;0,78;8114,07;1,08
046285.png;True;123;0,8;8087,28;0,48
046287.png;True;154;0,79;8115,85;0,59
046290.png;True;154;0,79;8071,0;0,59
046295.png;True;164;0,81;8111,69;0,62
046296.png;True;154;0,78;8070,82;0,59
046297.png;True;154;0,79;8110,89;0,59
046299.png;True;445;0,78;8121,16;1,65
046302.png;True;525;0,82;8129,56;1,95
046303.png;True;228;0,8;8165,62;0,87
046309.png;True;158;0,82;8105,51;0,62
046310.png;True;128;0,82;8112,39;0,5
046311.png;True;883;0,79;8110,58;3,25
046312.png;True;82;0,79;8123,02;0,33
046314.png;True;154;0,78;8111,47;0,6
046315.png;True;240;0,79;8083,39;0,93
046316.png;True;137;0,79;8066,29;0,53
046318.png;True;447;0,79;8102,48;1,69
046326.png;True;432;0,79;8116,74;1,62
046328.png;True;147;0,79;8079,76;0,58
046330.png;True;223;0,89;8131,42;0,83
046331.png;True;154;0,79;8089,5;0,6
046332.png;True;231;0,8;8090,88;0,89
046333.png;True;154;0,79;8103,43;0,65
046334.png;True;196;0,8;8121,75;0,75
046335.png;True;154;0,79;8100,86;0,6
046336.png;True;230;0,88;8100,36;0,88
046341.png;True;155;0,81;8102,1;0,59
046342.png;True;154;0,8;8110,79;0,59
046343.png;True;138;0,8;8069,39;0,53
046346.png;True;154;0,79;8087,52;0,59
046347.png;True;151;0,8;8135,55;0,58
046348.png;True;154;0,82;8140,0;0,59
046349.png;True;233;0,79;8095,56;0,9
046353.png;True;2306;0,79;8125,3;8,79
046354.png;True;161;0,82;8100,44;0,62
046355.png;True;154;0,79;8105,62;0,6
046356.png;True;154;0,8;8079,76;0,6
046361.png;True;236;0,79;8095,04;0,89
046362.png;True;503;0,79;8190,04;1,86
046363.png;True;393;0,79;8083,94;1,49
046364.png;True;2246;0,84;8109,23;8,19
046365.png;True;121;0,84;8097,73;0,46
046366.png;True;520;0,79;8102,05;2,34
046367.png;True;445;0,8;8095,17;1,69
046368.png;True;580;0,79;8092,31;2,16
046369.png;True;122;0,81;8153,7;0,48
046370.png;True;154;0,79;8093,17;0,59
046371.png;True;154;0,8;8097,44;0,59
046372.png;True;231;0,8;8135,63;0,87
046373.png;True;446;0,8;8054,17;1,71
046374.png;True;154;0,81;8124,35;0,59
046377.png;True;157;0,8;8070,84;0,6
046378.png;True;143;0,79;8123,4;0,54
046386.png;True;159;0,87;8103,38;0,6
046387.png;True;154;0,79;8127,42;0,64
046388.png;True;155;0,8;8116,75;0,6
046389.png;True;154;0,78;8099,11;0,59
046392.png;True;155;0,78;8054,5;0,59
046394.png;True;154;0,79;8100,51;0,59
046395.png;True;447;0,8;8134,6;1,69
046398.png;True;154;0,82;8126,12;0,6
046399.png;True;154;0,79;8063,38;0,59
046400.png;True;155;0,85;8132,8;0,62
046401.png;True;230;0,8;8079,28;0,89
046402.png;True;425;0,8;8069,22;1,57
046403.png;True;154;0,79;8058,19;0,6
046404.png;True;134;0,8;8164,09;0,52
046407.png;True;154;0,8;8148,72;0,59
046411.png;True;123;0,79;8114,4;0,49
046412.png;True;111;0,85;8109,32;0,47
046413.png;True;121;0,86;8105,13;0,5
046414.png;True;154;0,88;8062,32;0,62
046415.png;True;502;0,84;8093,26;1,89
046416.png;True;154;0,88;8132,32;0,6
046417.png;True;444;0,8;8103,75;1,71
046418.png;True;252;0,8;8119,02;0,94
046421.png;True;124;0,8;8127,28;0,49
046422.png;True;157;0,8;8058,18;0,62
046423.png;True;158;0,8;8092,96;0,61
046424.png;True;152;0,79;8042,14;0,58
046425.png;True;120;0,79;8131,95;0,47
046428.png;True;161;0,79;8099,54;0,63
046429.png;True;155;0,8;8106,46;0,59
046430.png;True;155;0,79;8105,08;0,59
046431.png;True;119;0,8;8082,55;0,46
046432.png;True;230;0,79;8078,8;0,87
046434.png;True;154;0,78;7999,28;0,58
046435.png;True;169;0,81;8112,55;0,73
046436.png;True;158;0,8;8062,92;0,62
046437.png;True;150;0,81;8103,07;0,58
046438.png;True;155;0,8;8142,49;0,6
046439.png;True;154;0,81;8068,29;0,59
046440.png;True;158;0,8;8097,52;0,61
046441.png;True;122;0,8;8050,76;0,47
046442.png;True;234;0,81;8129,41;0,88
046443.png;True;155;0,81;8043,57;0,6
046444.png;True;228;0,81;8137,23;0,86
046445.png;True;262;0,79;8145,16;0,99
046446.png;True;155;0,82;8112,41;0,62
046447.png;True;227;0,81;8064,9;0,87
046450.png;True;157;0,89;8069,15;0,62
046451.png;True;225;0,8;8085,1;0,84
046452.png;True;236;0,79;8085,01;0,89
046453.png;True;155;0,8;8089,43;0,68
046454.png;True;441;0,81;8144,31;1,62
046456.png;True;228;0,8;8120,76;0,96
046457.png;True;330;0,8;8128,59;1,22
046459.png;True;152;0,8;8070,36;0,59
046460.png;True;138;0,8;8171,06;0,53
046461.png;True;154;0,8;8074,16;0,59
046463.png;True;239;0,79;8125,65;0,89
046464.png;True;154;0,79;8107,49;0,59
046467.png;True;157;0,79;8126,07;0,61
046468.png;True;158;0,79;8095,83;0,61
046471.png;True;445;0,8;8091,36;1,63
046472.png;True;158;0,81;8085,88;0,61
046473.png;True;158;0,89;8069,55;0,69
046474.png;True;155;0,8;8141,7;0,59
046475.png;True;223;0,79;8106,49;0,86
046476.png;True;155;0,8;8101,97;0,61
046477.png;True;126;0,79;8066,16;0,57
046478.png;True;154;0,79;8100,41;0,6
046480.png;True;228;1,03;8149,71;0,87
046482.png;True;154;0,78;8048,79;0,6
046483.png;True;154;0,8;8094,38;0,6
046484.png;True;223;0,8;8113,11;0,83
046486.png;True;130;0,79;8109,7;0,51
046488.png;True;154;0,8;8120,3;0,6
046491.png;True;154;0,79;8081,03;0,6
046492.png;True;154;0,8;8080,68;0,61
046493.png;True;148;0,82;8073,04;0,58
046495.png;True;154;0,8;8067,77;0,59
046496.png;True;125;0,82;8087,61;0,49
046497.png;True;155;0,83;8072,64;0,61
046498.png;True;122;0,79;8127,39;0,48
046499.png;True;154;0,79;8113,59;0,59
046500.png;True;228;0,82;8170,94;0,86
046501.png;True;154;0,79;8077,37;0,59
046502.png;True;154;0,8;8101,71;0,59
046503.png;True;119;0,8;8093,12;0,46
046504.png;True;115;0,79;8082,56;0,45
046505.png;True;229;0,79;8124,34;0,88
046506.png;True;155;0,79;8093,34;0,59
046507.png;True;497;0,8;8073,15;1,84
046508.png;True;231;0,79;8068,44;0,87
046509.png;True;154;0,91;8096,29;0,6
046510.png;True;118;0,79;8132,94;0,59
046511.png;True;111;0,8;8070,83;0,44
046512.png;True;154;0,79;8088,79;0,6
046513.png;True;719;0,81;8147,43;2,69
046514.png;True;684;0,79;8117,22;2,55
046515.png;True;122;0,79;8133,23;0,48
046516.png;True;421;0,8;8115,01;1,56
046517.png;True;154;0,8;8131,71;0,58
046518.png;True;154;0,81;8087,03;0,6
046520.png;True;135;0,8;8097,55;0,53
046522.png;True;155;0,79;8115,71;0,6
046524.png;True;154;0,8;8135,41;0,58
046525.png;True;133;0,78;8091,29;0,51
046526.png;True;457;0,95;8114,0;1,74
046527.png;True;137;0,79;8138,82;0,53
046528.png;True;154;0,79;8090,51;0,58
046529.png;True;446;0,79;8106,65;1,69
046530.png;True;158;0,8;8105,05;0,6
046531.png;True;145;0,79;8147,44;0,56
046534.png;True;154;0,78;8049,26;0,61
046535.png;True;228;0,8;8123,38;0,86
046536.png;True;154;0,8;8119,31;0,6
046537.png;True;155;0,8;8093,15;0,6
046538.png;True;154;0,79;8157,05;0,59
046539.png;True;140;0,79;8094,76;0,54
046540.png;True;154;0,82;8128,71;0,59
046541.png;True;155;0,79;8039,13;0,6
046542.png;True;155;0,79;8099,89;0,6
046543.png;True;442;0,79;8108,54;1,65
046544.png;True;228;0,79;8069,18;0,88
046545.png;True;135;0,81;8085,07;0,53
046546.png;True;1053;0,8;8105,45;3,81
046547.png;True;499;0,8;8145,42;1,86
046548.png;True;499;0,8;8086,69;1,84
046549.png;True;157;0,79;8078,32;0,61
046550.png;True;157;0,79;8108,3;0,61
046551.png;True;158;0,8;8102,81;0,61
046552.png;True;154;0,79;8063,61;0,6
046553.png;True;144;0,79;8065,03;0,56
046554.png;True;155;0,8;8121,84;0,6
046557.png;True;154;0,79;8134,49;0,59
046558.png;True;123;0,8;8099,56;0,48
046560.png;True;445;0,93;8118,54;1,66
046561.png;True;128;0,8;8108,51;0,52
046562.png;True;154;0,81;8139,62;0,6
046564.png;True;154;0,79;8087,9;0,6
046565.png;True;154;0,83;8108,56;0,59
046566.png;True;500;0,8;8120,6;1,88
046569.png;True;155;0,8;8106,81;0,6
046572.png;True;224;0,8;8156,5;0,95
046573.png;True;386;0,79;8091,43;1,46
046574.png;True;111;0,87;8082,97;0,43
046575.png;True;266;0,8;8065,57;1,0
046576.png;True;228;0,82;8094,53;0,87
046577.png;True;166;0,8;8090,83;0,63
046578.png;True;150;0,79;8155,91;0,58
046579.png;True;437;0,79;8109,3;1,61
046580.png;True;223;0,8;8079,55;0,89
046581.png;True;155;0,79;8081,91;0,59
046582.png;True;154;0,79;8103,37;0,59
046583.png;True;984;0,8;8113,83;3,68
046584.png;True;155;0,79;8070,53;0,61
046585.png;True;156;0,85;8173,73;0,6
046586.png;True;446;0,79;8102,23;1,68
046587.png;True;160;0,8;8129,71;0,61
046588.png;True;447;0,81;8093,69;1,64
046589.png;True;154;0,8;8119,28;0,61
046590.png;True;228;0,8;8111,96;0,88
046591.png;True;154;0,8;8086,64;0,6
046592.png;True;158;0,79;8127,1;0,6
046593.png;True;155;0,8;8136,55;0,6
046595.png;True;126;0,8;8095,52;0,69
046596.png;True;444;0,79;8095,32;1,66
046597.png;True;338;0,8;8075,54;1,27
046598.png;True;154;0,8;8131,71;0,61
046599.png;True;117;0,9;8077,85;0,46
046600.png;True;154;0,78;8139,12;0,59
046601.png;True;126;0,79;8157,43;0,49
046602.png;True;392;0,79;8135,49;1,54
046603.png;True;154;0,79;8076,82;0,6
046604.png;True;234;0,79;8069,71;0,88
046605.png;True;154;0,8;8108,83;0,6
046606.png;True;154;0,86;8093,95;0,58
046607.png;True;186;0,8;8098,45;0,76
046608.png;True;582;0,79;8151,52;2,2
046609.png;True;155;0,88;8107,03;0,65
046610.png;True;122;0,79;8108,55;0,47
046611.png;True;139;0,8;8112,31;0,66
046612.png;True;120;0,8;8121,56;0,47
046613.png;True;150;0,79;8090,86;0,58
046614.png;True;154;0,79;8125,48;0,58
046615.png;True;142;0,79;8122,65;0,55
046616.png;True;155;0,79;8125,93;0,58
046617.png;True;154;0,79;8098,81;0,58
046618.png;True;123;0,78;8081,95;0,47
046619.png;True;234;0,8;8139,06;0,89
046620.png;True;154;0,79;8119,04;0,6
046621.png;True;154;0,8;8122,55;0,59
046622.png;True;157;0,8;8133,48;0,61
046623.png;True;226;0,79;8116,11;0,85
046626.png;True;444;0,8;8095,69;1,65
046627.png;True;673;0,82;8141,14;2,47
046628.png;True;167;0,97;8159,63;0,64
046631.png;True;228;0,8;8099,42;0,89
046637.png;True;128;0,8;8094,37;0,5
046639.png;True;155;0,79;8110,85;0,6
046640.png;True;178;0,8;8111,61;0,75
046641.png;True;155;0,87;8079,22;0,6
